Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
C19	RAD0.1	1.836	0.255	1.836	0.305	1.836	0.305	Top	-90.0
C20	RAD0.1	2.035	0.340	1.985	0.340	1.985	0.340	Top	0.0
CIN	RB.1.2	1.020	0.535	1.020	0.485	1.020	0.485	Top	-90.0
CN5	SIP3	3.740	1.085	3.740	1.185	3.740	1.185	Top	-90.0
CNEMG	SIP6	0.450	1.225	0.200	1.225	0.200	1.225	Top	0.0
CNPWR	POWER2	0.300	0.925	0.300	1.025	0.300	1.025	Top	-90.0
COUT	RB.1.2	0.205	0.555	0.205	0.505	0.205	0.505	Top	-90.0
D1	1N4XXX	1.805	0.775	2.005	0.775	2.005	0.775	Top	180.0
IC2575	TO-220-5pin	1.341	0.916	1.609	0.579	1.457	0.780	Top	90.0
ICESP32	DIP30-WIDE11	2.686	0.705	2.786	0.705	3.386	1.205	Top	-90.0
ICRX	DPV	2.857	0.775	2.857	0.723	2.820	0.810	Bottom	0.0
ICTX	DPV	3.226	0.773	3.226	0.721	3.189	0.807	Bottom	0.0
L1	AXIAL1.50	0.850	0.210	1.600	0.210	1.600	0.210	Top	0.0
Q1	TO-92A	3.657	0.515	3.640	0.465	3.640	0.465	Top	90.0
R19	AXIAL0.2	2.411	0.880	2.411	0.780	2.411	0.780	Top	90.0
R20	AXIAL0.2	2.985	0.360	3.085	0.360	3.085	0.360	Top	180.0
R21	AXIAL0.2	3.535	0.985	3.535	0.885	3.535	0.885	Top	90.0
R22	AXIAL0.2	3.640	0.785	3.640	0.685	3.640	0.685	Top	90.0
R23	AXIAL0.2	3.261	0.540	3.161	0.540	3.161	0.540	Top	0.0
R24	AXIAL0.2	3.261	0.440	3.161	0.440	3.161	0.440	Top	0.0
